id,sha,repo,fileName,issueType,commitLink,commitMessage,days,devActivities
1,611fc37,xxv/robotfindskitten,src/info/staticfree/android/robotfindskitten/RFKView.java,DrawAllocation,https://github.com/xxv/robotfindskitten/commit/611fc371c841b86fc7d8517e2f53b9b01d6e34e2#diff-4b6b3c0e8f07ca0657c7de64f2076d5d,Optimizes RFKView; reuses Rect,1262.892674,Bug fixing
2,01c8725,andhikai/ferticalc,src/de/arnowelzel/android/periodical/CalendarCell.java,DrawAllocation,https://github.com/andhikai/ferticalc/commit/01c8725cbf6310a47bf474b2e55c657c3f49d5b5#diff-08d0c39db9206b87c171b9cc4d0e60cd,"Updated target API level to Android 4.4. Updated version number for the next release. Code cleanup and optimization. Modified color scheme - there are now ""empty"" cells to indicate time ranges before and after the current known cycles and predicted period days now also display days with white text.",482.7938657,"API management,Code re-organization,App enhancement,User experience improvement"
3,4a00e7e,leziosoft/MultiWii_EZ_GUI,src/com/ezio/multiwii/dashboard/PitchRollView.java,DrawAllocation,https://github.com/eziosoft/MultiWii_EZ_GUI/commit/4a00e7e99255593dfe43982b120b56927a3e957a,update dashboard1 update... Navigation handler 2x fixed... NAV detection and auto protocol select...,475.1073958,Bug fixing
4,e044990,pocmo/Yaaic,application/src/org/yaaic/view/MessageListView.java,DrawAllocation,https://github.com/pocmo/Yaaic/commit/e04499070aaf6aff5eaf58a6cad5df2f0e1646dc#diff-ddd50711f523dea48a0af253a1e5f3e8,Replace gallery view for conversations by ViewPager. Fixes #38.,226.4480556,"Code re-organization,Bug fixing,User experience improvement"
5,295a29d,leziosoft/MultiWii_EZ_GUI,src/com/ezio/multiwii/dashboard/Dashboard2View.java,DrawAllocation,https://github.com/eziosoft/MultiWii_EZ_GUI/commit/295a29dfcab9908af701707e5237844769b83071#diff-0aec5d63f535ee4751dc01e222f8e60f,new Horizon in dashboard 2,167.0970139,App enhancement
6,ec3e6b0,pocmo/Yaaic,src/org/yaaic/view/ConversationSwitcher.java,DrawAllocation,https://github.com/pocmo/Yaaic/commit/ec3e6b04d1e12b68fa1b79d4fd056d1a37de032e#diff-1a7e47f9ad05ad27deffe303bb0b137d,ConversationSwitcher: Changed layout and moved switcher to bottom,115.7943981,User experience improvement
7,d99ea30,eziosoft/MultiWii_EZ_GUI,src/com/ezio/multiwii/dashboard/Dashboard2View.java,DrawAllocation,https://github.com/eziosoft/MultiWii_EZ_GUI/commit/d99ea30ed2edc834522ebe1400f2dd4066f0aa5a#diff-0aec5d63f535ee4751dc01e222f8e60f,small fix in dashboard2,95.08424769,Bug fixing
8,b052238,xgouchet/Ted,eclipse-project/src/fr/xgouchet/ted/ui/view/AdvancedEditText.java,DrawAllocation,https://github.com/xgouchet/Ted/commit/b052238056e5b0e3b5552ec6aa2ca6e8e19ea33a#diff-873d07a339116b6dfe3732ee9b7bf3f0,Added an Undo feature Signed-off-by: Xavier Gouchet <github@xgouchet.fr>,65.08954861,App enhancement
9,25983cd4,almalence/OpenCamera,src/com/almalence/plugins/vf/barcodescanner/BarcodeScannerVFPlugin.java,DrawAllocation,https://github.com/almalence/OpenCamera/commit/25983cd4536a6afcb2e40fc9488b5fc9daf5ade0#diff-e1c756a581a2108e43aed85655ea2005,Cleaning,59.13046296,Code re-organization
10,d3eefe0,hrk/androidTileMapEditor,src/it/sineo/android/tileMapEditor/TiledMapView.java,DrawAllocation,https://github.com/hrk/androidTileMapEditor/commit/d3eefe033ff31ef6d5f22973603c74d1830f0161#diff-b9cc296586c0285b9973e33da3051aca,- ActionBarSherlock updated to 4.0.2 w/ code cleanup - Save/restore selected tab index on pause/resume - Deprecation and code cleanup - Removed grid in thumbnails (not optional),53.34927083,"Project management, Code re-organization"
11,b2323240,almalence/OpenCamera,src/com/almalence/plugins/capture/panoramaaugmented/AugmentedRotationListener.java,FloatMath,https://github.com/almalence/OpenCamera/commit/b232324020270dd547f487463fbe3148e0c4ac73#diff-506910937d9ff9e719bee0af8e7372f9,Partially fixed issue with preview on Android 6 in camera2 mode. Fixed nexus naming in CC. Changed depricated FloatMath to Math.,736.9915278,"Bug fixing,Sensing & communication"
12,b9c0899,ieee8023/PDFViewer,src/org/emdev/utils/MathUtils.java,FloatMath,https://github.com/ieee8023/PDFViewer/commit/b9c0899d30dc68eb4e3f019a9f6cb3dbfe577e9a#diff-cd25f458e3bddc5c3ecfb0a4dba9f643,upgraded to android 6 build env,671.1660069,Project management
13,9368b9a,ryanamaral/android-quill,src/name/vbraun/view/write/TouchHandlerActivePen.java,FloatMath,https://github.com/ryanamaral/android-quill/commit/9368b9a77d75d83e46a31e7a483f15fd08463be6#diff-15d6f7c9fdd658c235076843985f0ad5,Add musical paper v10.5,384.8486111,App enhancement
14,c9b7b0cc,almalence/OpenCamera,src/com/almalence/plugins/capture/panoramaaugmented/AugmentedRotationListener.java,FloatMath,https://github.com/almalence/OpenCamera/commit/c9b7b0cc82cba4d2aec0b25843b34e0300b133fe#diff-506910937d9ff9e719bee0af8e7372f9,Formatting applied,278.884213,"App enhancement,"
15,09236b2,romero4742/AndroidCrazyFlieTwitch,src/com/MobileAnarchy/Android/Widgets/Joystick/JoystickView.java,FloatMath,https://github.com/romero4742/AndroidCrazyFlieTwitch/commit/09236b2b0089bf5f5d4e7b64cc8690134ebd6824#diff-b6c21acb6e90b12aa4185e1b02e8100a,Fixed Lint warnings,163.2395718,Bug fixing
16,29f739a5,almalence/OpenCamera,src/com/almalence/plugins/capture/panoramaaugmented/AugmentedRotationListener.java,FloatMath,https://github.com/almalence/OpenCamera/commit/29f739a5e678a4248d3a9d6ece3ef11d15ddd0f2#diff-506910937d9ff9e719bee0af8e7372f9,Merge branch 'master' of https://github.com/almalence/OpenCamera.git,129.9292477,Project management
17,04c62b8,ryanamaral/android-quill,src/com/write/Quill/HandwriterView.java,FloatMath,https://github.com/ryanamaral/android-quill/commit/04c62b8b259053da4d727ccd973f40a72cc9276c#diff-d4d62d9c58424235a9fd3f37f69f7591,Refactoring the remaining touch handlers,121.1500926,Code re-organization
18,68626a2,ryanamaral/android-quill,src/com/write/Quill/HandwriterView.java,FloatMath,https://github.com/ryanamaral/android-quill/commit/68626a291429677a5349c9cdc3d3f7d635aac032#diff-d4d62d9c58424235a9fd3f37f69f7591,Refactoring touch handler for move/zoom,120.6173148,Code re-organization
19,8fa5c38,nawrasg/Atlantis,Android/src/fr/nawrasg/atlantis/listener/ShakeListener.java,FloatMath,https://github.com/nawrasg/Atlantis/commit/8fa5c383ec666161bfd4fba1ce94527642812325#diff-7239303139b8bfc71bc5f0c0b8f12230,Deprecated bug fix,104.1625347,Bug fixing
20,fda6834,sairam1592/RoyalEnfieldFT,app/src/main/java/com/reft/admin/royalenfield/misc/ScaleImageView.java,FloatMath,https://github.com/sairam1592/RoyalEnfieldFT/commit/fda68342bdb9fe58668a2d0becb00b685fa639db#diff-c2741c19bf974b35c8361a27b896d128,Connection check code added Internet connection check code added in Plan my Trip & Find Gas Station tabs. Latest APK uploaded to playstore.,56.15760417,"Sensing & communication, App enhancement, Project management"
21,ad601ebe,zom/Zom-Android,src/info/guardianproject/otr/app/im/app/AccountActivity.java,HandlerLeak,https://github.com/zom/Zom-Android-XMPP/commit/ad601ebe07dcf7c4ce0fd35e4267ce348c3897e1,remove un-used regen key UI from this activity,822.4953935,Code re-organization
22,68bf96b0,almalence/OpenCamera,src/com/almalence/plugins/vf/zoom/ZoomVFPlugin.java,HandlerLeak,https://github.com/almalence/OpenCamera/commit/68bf96b01409f66b81ef9c366a4f4bf6e3d284ba#diff-9f94e31396dd04f29397284b6d6db5df,Merge branch 'master' of https://github.com/almalence/OpenCamera.git,741.0552431,Project management
23,0307bd3f,zom/Zom-Android,src/info/guardianproject/otr/app/im/app/ContactListActivity.java,HandlerLeak,https://github.com/zom/Zom-Android-XMPP/commit/0307bd3f655a2716c9a2277d71ada6c1589467a8#diff-a214a985c9693cae21f0a8891907c21d,fixes for cacheword... service timeout issues - cleanup of ImApp calling - fixes around service crashing related to cursors,443.2946644,"Bug fixing,Code re-organization"
24,b9b02edb,zom/Zom-Android,src/info/guardianproject/otr/app/im/app/ChatView.java,HandlerLeak,https://github.com/zom/Zom-Android-XMPP/commit/b9b02edb5b38a73cb28173e6d7b5c257b82d7847#diff-bba7e0f8ca5c96739bc1ad09468e0e83,move OTRDATA handling into service/bg,308.973588,Code re-organization
25,3146eb3,AmrutSai/sikuna,src/uk/org/rivernile/edinburghbustracker/android/DisplayStopDataActivity.java,HandlerLeak,https://github.com/AmrutSai/sikuna/commit/3146eb3ee4739edf223e72f47cb64f0594ddd12a#diff-17006ee2185d388122793c87caf1ae15,A massive commit with lots of things. The biggest thing to note is the inclusion of the Compatibility Library and the move to using Fragments in the UI.,267.7284722,"API management,Code re-organization"
26,b0be9734,almalence/OpenCamera,src/com/almalence/plugins/processing/preshot/PreshotProcessingPlugin.java,HandlerLeak,https://github.com/almalence/OpenCamera/commit/b0be9734670609f17b441f11ff83a497fc1700c5#diff-f53ca8437bb50ecca6cb73e446cc89ca,Removed unused. Cleaned code.,244.0486921,Code re-organization
27,f226df05,almalence/OpenCamera,src/com/almalence/opencam/ui/AlmalenceGUI.java,HandlerLeak,https://github.com/almalence/OpenCamera/commit/f226df05d0bbbda3a3040ed07e0a69fefeb205a0#diff-fe725043dc517d4e9ac670fb00478371,Manual controls redesign and fix.,220.5301852,"App enhancement, Bug fixing"
28,cdf8742,Chluverman/android-gltron,GlTron/src/com/glTron/glTron.java,HandlerLeak,https://github.com/Chluverman/android-gltron/commit/cdf8742d8fff64cae43d9eb81fcdf53b7fd0bfbe#diff-a60586619064db7952967c2f806827fc,AdMob Libraries removed,164.9893056,Code re-organization
