id,sha,repo,fileName,issueType,commitLink,commitMessage,locs,devActivities
1,e18944e,Mikuz/Boarder,src/fi/mikuz/boarder/gui/BoardEditor.java,DrawAllocation,https://github.com/lindlof/Boarder/commit/e18944e92b3a0281fc9c3741fbb82cac060607f6#diff-85223113646cb1da7dda4160e7dead3c,Responsive joystick. Smoother joystick image.,1332,"Code re-organization, User experience improvement"
2,34ccea5,Mikuz/Boarder,src/fi/mikuz/boarder/gui/GraphicalSoundboardEditor.java,DrawAllocation,https://github.com/lindlof/Boarder/commit/34ccea56e1ae41e38ae132b04727d917416e75c3#diff-90c14fb7917a64c721029f04bd69a6b1,Improved color changer preview. Resolution converting refactoring. Resolution converting ignoring to history. Improved documentation.,386,"App enhancement, Code re-organization, Project management"
3,295a29d,eziosoft/MultiWii_EZ_GUI,src/com/ezio/multiwii/dashboard/Dashboard2View.java,DrawAllocation,https://github.com/eziosoft/MultiWii_EZ_GUI/commit/295a29dfcab9908af701707e5237844769b83071#diff-0aec5d63f535ee4751dc01e222f8e60f,new Horizon in dashboard 2,305,App enhancement
4,4a00e7e,eziosoft/MultiWii_EZ_GUI,src/com/ezio/multiwii/dashboard/PitchRollView.java,DrawAllocation,https://github.com/eziosoft/MultiWii_EZ_GUI/commit/4a00e7e99255593dfe43982b120b56927a3e957a#diff-a0dbfa057d7435c16b8d2d33a6e62905,update dashboard1 update... Navigation handler 2x fixed... NAV detection and auto protocol select...,234,Bug fixing
5,0ef3ab8,cubei/FlappyCow,src/com/quchen/flappycow/GameView.java,DrawAllocation,https://github.com/cubei/FlappyCow/commit/0ef3ab8ce654a5db785e0637579dc81c7c4dbd1c#diff-76681708a43b744ba6db18f1979e29af,gitignore,202,Project management
6,b94ad1d,dpadgett/Timer,Timer/src/org/dpadgett/widget/FasterNumberPicker.java,DrawAllocation,https://github.com/dpadgett/Timer/commit/b94ad1d33594316f97c8f23da3dfa2c23948f287#diff-aaeca798b0ff71935d54a0ea2e224d76,copy over implementation of fading edge from view. also fix the numberpicker not honoring the height measure spec... it now works when rotated.,179,"App enhancement, Bug fixing, User experience improvement"
7,aeb1811,hijonoob/beetleescape,beetleescape/src/main/java/hijonoob/beetleescape/GameView.java,DrawAllocation,https://github.com/hijonoob/beetleescape/commit/aeb1811aa1e4c11fdbda4f2eb927363424c0aeae#diff-21f388eff1ddcc4bbec5354674667474,- inclusion sound and adjustments,171,"App enhancement, Sensing & communication"
8,01c8725,andhikai/ferticalc,src/de/arnowelzel/android/periodical/CalendarCell.java,DrawAllocation,https://github.com/andhikai/ferticalc/commit/01c8725cbf6310a47bf474b2e55c657c3f49d5b5#diff-08d0c39db9206b87c171b9cc4d0e60cd,"Updated target API level to Android 4.4. Updated version number for the next release. Code cleanup and optimization. Modified color scheme - there are now ""empty"" cells to indicate time ranges before and after the current known cycles and predicted period days now also display days with white text.",166,"API management, Project management, Code re-organization, User experience improvement"
9,0d46768,mdellavo/plasma,plasma/src/main/java/org/quuux/plasma/MetaBallsView.java,DrawAllocation,https://github.com/mdellavo/plasma/commit/0d4676889c8fc8be1edb12a8e9dd3a137b1c45c3#diff-901a8a0f35e348c8d6c9dc1fcf0b6ade,metaballs... gl effects,150,User experience improvement
10,9dec49e,Mikuz/Boarder,src/fi/mikuz/boarder/gui/BoardEditor.java,DrawAllocation,https://github.com/lindlof/Boarder/commit/9dec49e4ab5d600ad7da227bd8aab92a3c91ef19#diff-85223113646cb1da7dda4160e7dead3c,Moved page drawing to separate class.,145,App enhancement
11,efb2eba0,almalence/OpenCamera,src/com/almalence/plugins/capture/hiresportrait/HiresPortraitCapturePlugin.java,FloatMath,https://github.com/almalence/OpenCamera/commit/efb2eba0338a1b9cc848edae77943ff05751629b#diff-36d8e5b8b10f46fc772a16ea1f917fab,Big fixes for sessionID. Fix in panorama. Corrections for thumbnail - on some devices when saving not in Camera folder. Corrected help layout to fit most of screents.,853,"Bug fixing, User experience improvement, Sensing & communication"
12,c9b7b0cc,almalence/OpenCamera,src/com/almalence/plugins/capture/panoramaaugmented/AugmentedRotationListener.java,FloatMath,https://github.com/almalence/OpenCamera/commit/c9b7b0cc82cba4d2aec0b25843b34e0300b133fe#diff-506910937d9ff9e719bee0af8e7372f9,Formatting applied,763,App enhancement
13,29f739a5,almalence/OpenCamera,src/com/almalence/plugins/capture/panoramaaugmented/AugmentedRotationListener.java,FloatMath,https://github.com/almalence/OpenCamera/commit/29f739a5e678a4248d3a9d6ece3ef11d15ddd0f2#diff-506910937d9ff9e719bee0af8e7372f9,Merge branch 'master' of https://github.com/almalence/OpenCamera.git,763,Project management
