id,sha,repo,fileName,issueType,commitLink,commitMessage,days,devActivities
1,c886819,Mikuz/Boarder,src/fi/mikuz/boarder/gui/BoardEditor.java,DrawAllocation,https://github.com/lindlof/Boarder/commit/c88681951763eeb81ee7d6103ba7846d39d00d5f#diff-85223113646cb1da7dda4160e7dead3c,Separate class for joystick.,0.036481481,App enhancement
2,c40c941,dpadgett/Timer,Timer/src/org/dpadgett/widget/FasterNumberPicker.java,DrawAllocation,https://github.com/dpadgett/Timer/commit/c40c941d90a72bb88c4b53f37e39b64a8d050ec7#diff-aaeca798b0ff71935d54a0ea2e224d76,get numberpicker working... mostly,0.060983796,User experience improvement
3,6e904ec,ryanamaral/android-quill,src/com/write/Quill/TagCloudView.java,DrawAllocation,https://github.com/ryanamaral/android-quill/commit/6e904ec3d96a573cb421d8a867d65e0e06bd24e1#diff-4e684f91dec2fb877936906d67e801ed,working on tag cloud,0.148784722,App enhancement
4,2c0867d,dpadgett/Timer,Timer/src/org/dpadgett/widget/FasterNumberPicker.java,DrawAllocation,https://github.com/dpadgett/Timer/commit/2c0867d54a5abfc1fd9158b239cd92bf992bbb9d#diff-aaeca798b0ff71935d54a0ea2e224d76,fix missing numberpicker indices... and improve longpress behavior - still has a bug on longpress decrement,0.441631944,"Bug fixing, Code re-organization"
5,e18944e,Mikuz/Boarder,src/fi/mikuz/boarder/gui/BoardEditor.java,DrawAllocation,https://github.com/lindlof/Boarder/commit/e18944e92b3a0281fc9c3741fbb82cac060607f6#diff-85223113646cb1da7dda4160e7dead3c,Responsive joystick. Smoother joystick image.,0.843668981,"Code re-organization, User experience improvement"
6,c886819,Mikuz/Boarder,src/fi/mikuz/boarder/gui/BoardEditor.java,DrawAllocation,https://github.com/lindlof/Boarder/commit/c88681951763eeb81ee7d6103ba7846d39d00d5f#diff-85223113646cb1da7dda4160e7dead3c,Separate class for joystick.,0.880150463,App enhancement
7,341188c,grchld/rftg-scorer,src/org/rftg/scorer/UserInterfaceView.java,DrawAllocation,https://github.com/grchld/rftg-scorer/commit/341188cd026cdfee6adb6c489d177343870a7a8f#diff-02444e17eaaa3b705e450dc49927ac63,Redrawing interface,0.954131944,User experience improvement
8,de82467,nolanlawson/KeepScore,KeepScore/src/com/nolanlawson/keepscore/widget/AutofitTextView.java,DrawAllocation,https://github.com/nolanlawson/KeepScore/commit/de824673c693ca8f2b2a1540b0d54ee36fe7c4ee#diff-2c80206d09e7129c76fbf1e348db33c0,"Revert ""add a subtle shading so that the odd-numbered columns in the history are discernable from the even-numbered ones"" This reverts commit 77ab503aa49ead3dba7be29976f830222c2c6cc3.",0.990509259,Project management
9,d7ca59b,hijonoob/beetleescape,beetleescape/src/main/java/hijonoob/beetleescape/Buraco.java,DrawAllocation,https://github.com/hijonoob/beetleescape/commit/d7ca59bfe7d496b7d9352ffe0afee9c4ecee11d2#diff-8ab48553bd08042a0d919f2562e65d23,- Adjust bottom rise and fall - Beetle update,1.005289352,"App enhancement, Project management"
10,11ab567,dpadgett/Timer,Timer/src/org/dpadgett/widget/FasterNumberPicker.java,DrawAllocation,https://github.com/dpadgett/Timer/commit/11ab5671c8ee55e20c75949afca5f6808649c38c#diff-aaeca798b0ff71935d54a0ea2e224d76,fix missing last number on scroll down... and fix mis-format of countdown hour text for hour > 60.,1.461909722,Bug fixing
11,b0bf3887,almalence/OpenCamera,src/com/almalence/plugins/capture/panoramaaugmented/AugmentedRotationListener.java,FloatMath,https://github.com/almalence/OpenCamera/commit/b0bf388775d23f55d4344d5b184400b03ef415fe#diff-506910937d9ff9e719bee0af8e7372f9,Merge branch 'master' of https://github.com/almalence/OpenCamera.git,0.0009375,Project management
12,02145ec,bkueng/clash_of_balls,src/com/android/game/clash_of_the_balls/game/GameBase.java,FloatMath,https://github.com/bkueng/clash_of_balls/commit/02145ec47fe57712d8d51d115995abf0bd14561d#diff-718286d11b0959c409902ae330cbdfce,add rectangle & GameWall skeleton class,0.014930556,App enhancement
13,6ea0c23,bkueng/clash_of_balls,src/com/android/game/clash_of_the_balls/game/GameBase.java,FloatMath,https://github.com/bkueng/clash_of_balls/commit/6ea0c23476760be80e043966e931dfb41fa8aef8#diff-718286d11b0959c409902ae330cbdfce,Merge branch 'master' of https://code.vis.ethz.ch/git/dist_sys/clash_of_the_balls Conflicts: src/com/android/game/clash_of_the_balls/game/GameBase.java,0.038935185,Project management
14,f2f4fcb,bkueng/clash_of_balls,src/com/android/game/clash_of_the_balls/game/GameBase.java,FloatMath,https://github.com/bkueng/clash_of_balls/commit/f2f4fcb16c004836905d5eb27a97c9df535ec220,! correct player-player collision handling,1.012638889,Bug fixing
15,6d090a0,bkueng/clash_of_balls,src/com/android/game/clash_of_the_balls/game/GameBase.java,FloatMath,https://github.com/bkueng/clash_of_balls/commit/6d090a0a26769b9c95e841dd84e3df5261839cf3#diff-718286d11b0959c409902ae330cbdfce,Rectangle - Player collision (not working properly),1.108275463,User experience improvement
16,31dd35c,bkueng/clash_of_balls,src/com/android/game/clash_of_the_balls/game/GameBase.java,FloatMath,https://github.com/bkueng/clash_of_balls/commit/31dd35c363b9e6ed1d79196bb473e0b9b541bd60,! use Vector.dist instead of eucDist (which is the same),4.768333333,Code re-organization
17,669a7d9,bkueng/clash_of_balls,src/com/android/game/clash_of_the_balls/game/GameBase.java,FloatMath,https://github.com/bkueng/clash_of_balls/commit/669a7d935abd64fc4342a068fc418c93473d33e6#diff-718286d11b0959c409902ae330cbdfce,-\=+ Box2D integration: dummy Box2D: coordinate system is the same... body position is same as old position dummy Box2D objects: World... Body in StaticGameObject (replacing position & angle) dummy fixed timestep of 30 ms for box2d dummy collision detection,13.34666667,"App enhancement, Bug fixing"
18,3772298,MAVProxyUser/NoTauLabsNag,androidgcs/src/org/openpilot_nonag/androidgcs/OsgViewer.java,FloatMath,https://github.com/MAVProxyUser/NoTauLabsNag/commit/37722985a450d2f20a5a4e97dc45897a76d5f71e#diff-8e252dab45d68980cfdedaa57eec8133,delete osgviewer and try to set thread classpath,22.94398148,Code re-organization
19,efb2eba0,almalence/OpenCamera,src/com/almalence/plugins/capture/hiresportrait/HiresPortraitCapturePlugin.java,FloatMath,https://github.com/almalence/OpenCamera/commit/efb2eba0338a1b9cc848edae77943ff05751629b#diff-36d8e5b8b10f46fc772a16ea1f917fab,Big fixes for sessionID. Fix in panorama. Corrections for thumbnail - on some devices when saving not in Camera folder. Corrected help layout to fit most of screents.,51.0172338,"Bug fixing, User experience improvement, Sensing & communication"
20,969009f,MAVProxyUser/NoTauLabsNag,androidgcs/src/com/MobileAnarchy/Android/Widgets/Joystick/JoystickView.java,FloatMath,https://github.com/MAVProxyUser/NoTauLabsNag/commit/969009f25e3f41068f1422f397fb337a32308b37#diff-07ab515a1e05e2616cc6e80ae635dd26,Remove Controller Icon... Replace with Wizard Icon. Yank out Controller code and Remove Mobile Anarchy library I use a quick Wizard hat logo from Icon Archive - http://www.iconarchive.com/show/icons8-metro-style-icons-by-visualpharm/Halloween-Wizard-icon.html,54.41946759,"Code re-organization, App enhancement, API management"
21,18c71981,almalence/OpenCamera,src/com/almalence/plugins/processing/preshot/PreshotProcessingPlugin.java,HandlerLeak,https://github.com/almalence/OpenCamera/commit/18c719818aed534765ca0fabf8fdc10501261e32#diff-f53ca8437bb50ecca6cb73e446cc89ca,Merge branch 'master' of https://github.com/almalence/OpenCamera.git,0.000127315,Project management
22,fdb56c7,Efesto/red-vs-green,app/src/main/java/efestoarts/wearfaces/BubblesFace.java,HandlerLeak,https://github.com/Efesto/red-vs-green/commit/fdb56c7978aa9cabf57368cce60902b753fb8f22,"Now the bubbles are drawn according to their ""measure""",0.033645833,User experience improvement
23,09d8addd,almalence/OpenCamera,src/com/almalence/plugins/processing/preshot/PreshotProcessingPlugin.java,HandlerLeak,https://github.com/almalence/OpenCamera/commit/09d8adddafcfa8cd24b2f371cbac4c69035d0ee1#diff-f53ca8437bb50ecca6cb73e446cc89ca,Other bunch of changing access level for CameraController variables,0.039166667,Sensing & communication
24,7.21E+98,stdev293/battery-waster-android,src/com/stdev293/batterywasterdemo/activities/BatteryWasterActivity.java,HandlerLeak,https://github.com/stdev293/battery-waster-android/commit/7212e95c00fb396e8213493024d446dabdf07e58#diff-4ea9ff00545d358e0e7826ff68a120ef,static handler to avoid potential memory leak,0.147997685,Bug fixing
25,947fef0,karkum/HokieHelper,src/org/mad/app/hokiehelper/Dining_HallInformationActivity.java,HandlerLeak,https://github.com/karkum/HokieHelper/commit/947fef0ced3965ec1f1382dc2381dbe6924b9be6#diff-23d95db92454eef41a9601a75241d84d,Bug fixes Moved nutrition fact database initialization to a different class to prevent errors. Going to add the 10 minute no-refresh thing back into Twitter Feed and also fix a bug where it will crash if there's no network connection tomorrow. just need to rearrange some things so it works with the Runnable interface.,0.150428241,"Bug fixing, App enhancement, Storage management, User experience improvement"
26,cfaf338,rulogarcillan/PainLog,app/src/main/java/com/pain/log/painlog/negocio/MainActivity.java,HandlerLeak,https://github.com/rulogarcillan/PainLog/commit/cfaf338c066ae94b0baf98bc1371c78d9c33b624#diff-188e5933745abd33d26c3264214729ca,Release 1.2,0.23306713,Project management
27,e6df327,ZorgeR/nanoConverter,Source/src/com/nanoconverter/zlab/NanoConverter.java,HandlerLeak,https://github.com/ZorgeR/nanoConverter/commit/e6df327e45658fa49c5569724a2f7e1af7b7256c#diff-af7feeb0edd46991d4ed23ef510e81ba,0.7.7: - new xml parser - remove handler - add disclaimer (./COPYING) Signed-off-by: Zorge.R <zorg.rhrd@gmail.com>,0.528587963,"App enhancement, Code re-organization"
28,8a402dce,zom/Zom-Android,src/info/guardianproject/otr/app/im/service/ChatSessionAdapter.java,HandlerLeak,https://github.com/zom/Zom-Android-XMPP/commit/8a402dcef988ebd6dcef7ba0df5f7b9971dbdefd#diff-8dfbc15868213c97e42d059b504bcda0,make sure OTR is init'd in chatsession when in bg if XMPP created new caht session... the ChatSessionAdapter was not being created... and so OTR was never setup,1.728263889,"Code re-organization, Sensing & communication"
29,5.17E+55,rootkit007/cobra-iradar-notifier,src/com/cobra/iradar/RadarConnectionService.java,HandlerLeak,https://github.com/rootkit007/cobra-iradar-notifier/commit/5165e52aa392dba6dbd64120aa0390ca14e301f4#diff-862cfb5954aa62883fdbe7a685ce2236,Added apk. Reworked code to use event bus. Added crash error reporting.,2.998055556,"API management, App enhancement,"
30,bb760dc,Efesto/red-vs-green,app/src/main/java/efestoarts/wearfaces/BubblesFaceService.java,HandlerLeak,https://github.com/Efesto/red-vs-green/commit/bb760dce9185fa13fb2f96bc8d1bdc09a1504bd6#diff-0e5cd5ee8e5cea444f6687f25980a8a9,"Bubbles staggered from the center, the figures are now drawn in .the bubbles",3.028842593,User experience improvement
31,b9e665d3,makings/mst,src/org/qii/weiciyuan/ui/send/StatusNewActivity.java,Recycle,https://github.com/makings/mst/commit/b9e665d3b6ebf6e5a53d5b7ffeb7dd8167d690bd#diff-3e2ca5f7446baac125d0aabae96f9926,fix bug,0.00369213,Bug fixing
32,4d9d046d,makings/mst,src/org/qii/weiciyuan/support/database/DatabaseManager.java,Recycle,https://github.com/makings/mst/commit/4d9d046dd6ca10b43f4f3cdbf1a67866d68ecde7#diff-a75760f01095eb97299fe2b9420f16c0,json,0.004513889,Storage management
33,2aa9687,adiviness/DrunkFriend,src/com/austindiviness/drunkfriend/FavoritesActivity.java,Recycle,https://github.com/adiviness/DrunkFriend/commit/2aa9687f71ed00d4ca306bd51f4528c7d51ad07e#diff-41367eb2199f4bd02b78add0b2198212,refactored code so that Home Activity queries the contacts database and passes the needed information to child acitivities,0.013229167,"Code re-organization, Storage management"
34,34154a3d,makings/mst,src/org/qii/weiciyuan/ui/main/PictureBitmapWorkerTask.java,Recycle,https://github.com/makings/mst/commit/34154a3db61752afc3a94f3c8aa65dbafd25deb2#diff-09d52049790240d2cfeb4fc49eb2941e,remove bg border,0.022685185,Code re-organization
35,c3d85321,zom/Zom-Android,src/info/guardianproject/otr/app/im/app/ChatView.java,Recycle,https://github.com/zom/Zom-Android-XMPP/commit/c3d8532135e32b48786d2b7530c4ac17a408bb23#diff-bba7e0f8ca5c96739bc1ad09468e0e83,cursor needs to be closed manually,0.027060185,Storage management
36,f2d63ac,AlexBHarley/omi_Android,app/src/main/java/com/example/oem/oweme/DebtDatabase.java,Recycle,https://github.com/AlexBHarley/omi_Android/commit/f2d63aca5210ffc5bfe5e31e4f560c795a198328#diff-526dbad3c1a4e1efd9e8db66e7c0d8eb,On click is returning correct values. Now can do graph and edit contact button.,0.118090278,"Storage management, App enhancement"
37,65c3618,mohaxspb/Odnako,src/ru/kuchanov/odnako/db/DBCategoriesHelper.java,Recycle,https://github.com/mohaxspb/Odnako/commit/65c3618daef201d9b9220b41b876346ac640199e#diff-bea8fc811236698054f9ad092362c8d6,Just saving something;,0.211793981,Code re-organization
38,9e67a64,chunmeng/StorageWidget,src/com/tempura/storagewidget/BetterStorageWidgetProvider.java,Recycle,https://github.com/chunmeng/StorageWidget/commit/9e67a640c89b611182e635c500fd7625290067eb#diff-d7fa0a4be4a4bf7cc0dfd91b69b1fb89,Partial checkpoint: cursor works. implementing df to scan external storage,0.710752315,"App enhancement, Storage management"
39,7e99158,username115/FRCScouting,src/org/frc836/database/DB.java,Recycle,https://github.com/username115/FRCScouting/commit/7e99158a085504589869a395c054c023469aa0ab#diff-4b429a57b7c5d95c91d3297d9424a2fa,Cursors are now properly closed when they are done being used.,0.866458333,"Storage management, Code re-organization"
40,691733e,v1k/palabras,src/com/mates120/myword/DataSource.java,Recycle,https://github.com/v1k/palabras/commit/691733e3e070ed03f882fc2d18dc3483ee94d090#diff-717835ff91561e5338068a57ed9ba1ae,Adding select... add... delete and links. Raw variant.,0.960127315,"App enhancement, Code re-organization"
41,73284bc,rngtng/IrDude,src/com/rngtng/irdude/MainActivity.java,UseSparseArrays,https://github.com/rngtng/IrDude/commit/73284bc6a2290dd15d4aeab3977fdf370c6f0836#diff-58496357e2704c29b25873870d4d4d03,cleanup,0.015729167,Code re-organization
42,0b97b33,frankkienl/LiveViewNotifications,src/nl/frankkie/livenotifications/MyAccessibilityService.java,UseSparseArrays,https://github.com/frankkienl/LiveViewNotifications/commit/0b97b334018e861c057c43f6f333586e544501ee#diff-fcbd086ab40fa2f69ab8889d71e4cc51,The app now also tries to get the text from notifications. Will not work for all apps ! (custom views etc..) Fixed for Whatsapp notification... may also work for others :-) !,0.033634259,"Sensing & communication, Bug fixing"
43,4bbade7,adq/redbus,src/org/redbus/StopMapActivity.java,UseSparseArrays,https://github.com/adq/redbus/commit/4bbade73cdf8f44ca46d1f4d5137b1146de9690e#diff-12b979ed7144d32e937c521c99e08687,Add map views,0.033703704,App enhancement
44,ae06fb3,username115/FRCScouting,src/org/frc836/aerialassist/MatchStatsAA.java,UseSparseArrays,https://github.com/username115/FRCScouting/commit/ae06fb3bc147fc7da07714822c2aa26b471f3348#diff-f3bbf82e4454163ff183c4e880b4ae53,More work on match scouting. Worked on endgame... got notes field and common notes working.,0.051365741,App enhancement
