id,sha,repo,fileName,issueType,commitLink,commitMessage,locs,devActivities
1,611fc37,xxv/robotfindskitten,src/info/staticfree/android/robotfindskitten/RFKView.java,DrawAllocation,https://github.com/xxv/robotfindskitten/commit/611fc371c841b86fc7d8517e2f53b9b01d6e34e2#diff-4b6b3c0e8f07ca0657c7de64f2076d5d,Optimizes RFKView; reuses Rect,9,Bug fixing
2,d99ea30,eziosoft/MultiWii_EZ_GUI,src/com/ezio/multiwii/dashboard/Dashboard2View.java,DrawAllocation,https://github.com/eziosoft/MultiWii_EZ_GUI/commit/d99ea30ed2edc834522ebe1400f2dd4066f0aa5a#diff-0aec5d63f535ee4751dc01e222f8e60f,small fix in dashboard2,10,Bug fixing
3,d7ca59b,hijonoob/beetleescape,beetleescape/src/main/java/hijonoob/beetleescape/Buraco.java,DrawAllocation,https://github.com/hijonoob/beetleescape/commit/d7ca59bfe7d496b7d9352ffe0afee9c4ecee11d2#diff-8ab48553bd08042a0d919f2562e65d23,- Adjust bottom rise and fall,11,User experience improvement
4,11ab567,dpadgett/Timer,Timer/src/org/dpadgett/widget/FasterNumberPicker.java,DrawAllocation,https://github.com/dpadgett/Timer/commit/11ab5671c8ee55e20c75949afca5f6808649c38c#diff-aaeca798b0ff71935d54a0ea2e224d76,fix missing last number on scroll down... and fix mis-format of countdown hour text for hour > 60.,13,Bug fixing
5,de82467,nolanlawson/KeepScore,KeepScore/src/com/nolanlawson/keepscore/widget/AutofitTextView.java,DrawAllocation,https://github.com/nolanlawson/KeepScore/commit/de824673c693ca8f2b2a1540b0d54ee36fe7c4ee#diff-2c80206d09e7129c76fbf1e348db33c0,"Revert ""add a subtle shading so that the odd-numbered columns in the history are discernable from the even-numbered ones"" This reverts commit 77ab503aa49ead3dba7be29976f830222c2c6cc3.",13,Project management
6,70ab225,mi9rom/achartengine,achartengine/src/org/achartengine/GraphicalView.java,DrawAllocation,https://github.com/mi9rom/achartengine/commit/70ab225bcfdd693e045c6a856f8004d725585349#diff-1084b7eb56c7f28e1a76ab703b902f1e,Add support for enabled or not the zoom and pan functions on each axis separately (issue #17). git-svn-id: http://achartengine.googlecode.com/svn/trunk@82 0b5bfab6-fc16-11dd-ac65-f74f249cfaac,17,App enhancement
7,25983cd4,almalence/OpenCamera,src/com/almalence/plugins/vf/barcodescanner/BarcodeScannerVFPlugin.java,DrawAllocation,https://github.com/almalence/OpenCamera/commit/25983cd4536a6afcb2e40fc9488b5fc9daf5ade0#diff-e1c756a581a2108e43aed85655ea2005,Cleaning,17,Code re-organization
8,002161c,dpadgett/Timer,Timer/src/org/dpadgett/widget/TimerTextView.java,DrawAllocation,https://github.com/dpadgett/Timer/commit/002161c38bb451a9483d0317f58d809433156775#diff-95acf31e9cddb7b4f2b0d2938542bd9b,seems to be a more reliable way of resizing the texts when they get too big,22,App enhancement
9,cb53504,lordi/tickmate,src/de/smasi/tickmate/views/SummaryGraph.java,DrawAllocation,https://github.com/lordi/tickmate/commit/cb5350457f94c2914461b64ab1fa757692253061#diff-ae418896da0d94595663d2694bd91600,Cleanup and get rid of some deprecation warnings,28,"Code re-organization, Bug fixing"
10,f4aefbc,sticksoft/ADCPU-16Emu,src/uk/co/sticksoft/adce/hardware/Console.java,DrawAllocation,https://github.com/sticksoft/ADCPU-16Emu/commit/f4aefbc4e6a2fd7647dbbc3e3c03a5e135a4cd5f#diff-67af62667792bd70c7045b16ac055036,Redone lots of threading code,30,App enhancement
11,09236b2,romero4742/AndroidCrazyFlieTwitch,src/com/MobileAnarchy/Android/Widgets/Joystick/JoystickView.java,FloatMath,https://github.com/romero4742/AndroidCrazyFlieTwitch/commit/09236b2b0089bf5f5d4e7b64cc8690134ebd6824#diff-b6c21acb6e90b12aa4185e1b02e8100a,Fixed Lint warnings,2,Bug fixing
12,b9c0899,ieee8023/PDFViewer,src/org/ebookdroid/core/AbstractViewController.java,FloatMath,https://github.com/ieee8023/PDFViewer/commit/b9c0899d30dc68eb4e3f019a9f6cb3dbfe577e9a#diff-e4f9d7c6dde9b32504462f44c36d2c37,upgraded to android 6 build env,2,Project management
13,8fa5c38,nawrasg/Atlantis,Android/src/fr/nawrasg/atlantis/listener/ShakeListener.java,FloatMath,https://github.com/nawrasg/Atlantis/commit/8fa5c383ec666161bfd4fba1ce94527642812325#diff-7239303139b8bfc71bc5f0c0b8f12230,Deprecated bug fix,3,Bug fixing
14,b2323240,almalence/OpenCamera,src/com/almalence/opencam/ui/Switch/Switch.java,FloatMath,https://github.com/almalence/OpenCamera/commit/b232324020270dd547f487463fbe3148e0c4ac73#diff-fbb5cdd2b1841cfde431bad3de8b0895,Partially fixed issue with preview on Android 6 in camera2 mode. Fixed nexus naming in CC. Changed depricated FloatMath to Math.,3,"Bug fixing,Sensing & communication"
15,b0bf3887,almalence/OpenCamera,src/com/almalence/ui/Switch/Switch.java,FloatMath,https://github.com/almalence/OpenCamera/commit/b0bf388775d23f55d4344d5b184400b03ef415fe#diff-fbb5cdd2b1841cfde431bad3de8b0895,Merge branch 'master' of https://github.com/almalence/OpenCamera.git,3,Project management
16,31dd35c,bkueng/clash_of_balls,src/com/android/game/clash_of_the_balls/game/GameBase.java,FloatMath,https://github.com/bkueng/clash_of_balls/commit/31dd35c363b9e6ed1d79196bb473e0b9b541bd60,! use Vector.dist instead of eucDist (which is the same),6,Code re-organization
17,fda6834,sairam1592/RoyalEnfieldFT,app/src/main/java/com/reft/admin/ridersdelight/misc/ScaleImageView.java,FloatMath,https://github.com/sairam1592/RoyalEnfieldFT/commit/fda68342bdb9fe58668a2d0becb00b685fa639db#diff-c2741c19bf974b35c8361a27b896d128,Connection check code added Internet connection check code added in Plan my Trip & Find Gas Station tabs. Latest APK uploaded to playstore.,7,"Sensing & communication, App enhancement, Project management"
18,f2f4fcb,bkueng/clash_of_balls,src/com/android/game/clash_of_the_balls/game/GameBase.java,FloatMath,https://github.com/bkueng/clash_of_balls/commit/f2f4fcb16c004836905d5eb27a97c9df535ec220,! correct player-player collision handling,46,Bug fixing
19,6ea0c23,bkueng/clash_of_balls,src/com/android/game/clash_of_the_balls/game/GameBase.java,FloatMath,https://github.com/bkueng/clash_of_balls/commit/6ea0c23476760be80e043966e931dfb41fa8aef8#diff-718286d11b0959c409902ae330cbdfce,Merge branch 'master' of https://code.vis.ethz.ch/git/dist_sys/clash_of_the_balls Conflicts: src/com/android/game/clash_of_the_balls/game/GameBase.java,61,Project management
20,9368b9a,ryanamaral/android-quill,src/name/vbraun/view/write/TouchHandlerActivePen.java,FloatMath,https://github.com/ryanamaral/android-quill/commit/9368b9a77d75d83e46a31e7a483f15fd08463be6#diff-15d6f7c9fdd658c235076843985f0ad5,Add musical paper v10.5,63,App enhancement
21,cdf8742,Chluverman/android-gltron,GlTron/src/com/glTron/glTron.java,HandlerLeak,https://github.com/Chluverman/android-gltron/commit/cdf8742d8fff64cae43d9eb81fcdf53b7fd0bfbe#diff-a60586619064db7952967c2f806827fc,AdMob Libraries removed,38,Code re-organization
22,10a188a,knilch0r/freeshisen,src/de/cwde/freeshisen/ShisenShoView.java,HandlerLeak,https://github.com/knilch0r/freeshisen/commit/10a188aa0c9cdf2fa20dc4e2fcd8f10bdb9095ca#diff-8ce4d7ddbe27e67cb15ac2787fb01db1,"rename ""zerotime"". Change-Id: Ia6a0172206e38f9ae598bfa90228b6c4657a8747 Signed-off-by: gitknilch <gitknilch@cwde.de>",47,Project management
23,32ed1e5,XunMengWinter/Now,app/src/main/java/top/wefor/now/fragment/NGFragment.java,HandlerLeak,https://github.com/XunMengWinter/Now/commit/32ed1e50995a509efb6408b82a195d5e4208151b#diff-767e020101f19728565208b8b7bb1b02,"Fit horizontal screen, remove apacheHttp, code optimization",48,"User experience improvement, Sensing & communication, Code re-organization"
24,20dd173,zom/Zom-Android,src/info/guardianproject/otr/app/im/app/NewChatActivity.java,HandlerLeak,https://github.com/zom/Zom-Android-XMPP/commit/20dd17325d2612e77eb0fdc51cc6dbb6efab4af7#diff-90856ca740fbf37541a4514e168101d8,Callback for OTR status update.,49,Sensing & communication
25,ad601ebe,zom/Zom-Android,src/info/guardianproject/otr/app/im/app/AccountActivity.java,HandlerLeak,https://github.com/zom/Zom-Android-XMPP/commit/ad601ebe07dcf7c4ce0fd35e4267ce348c3897e1,remove un-used regen key UI from this activity,80,Code re-organization
26,bb760dc,Efesto/red-vs-green,app/src/main/java/efestoarts/wearfaces/BubblesFaceService.java,HandlerLeak,https://github.com/Efesto/red-vs-green/commit/bb760dce9185fa13fb2f96bc8d1bdc09a1504bd6#diff-0e5cd5ee8e5cea444f6687f25980a8a9,"Bubbles staggered from the center, the figures are now drawn in the bubbles",88,"User experience improvement,"
27,5.17E+55,rootkit007/cobra-iradar-notifier,src/com/greatnowhere/iradar/CobraIRadarActivity.java,HandlerLeak,https://github.com/rootkit007/cobra-iradar-notifier/commit/5165e52aa392dba6dbd64120aa0390ca14e301f4#diff-b59713216a82a7fa1ea2d1ad97075005,Added apk. Reworked code to use event bus. Added crash error reporting.,111,Code re-organization
28,53d52a0a,zom/Zom-Android,src/info/guardianproject/otr/app/im/app/CreateAccountActivity.java,HandlerLeak,https://github.com/zom/Zom-Android-XMPP/commit/53d52a0af38100623e70e8de1b38698bfaaddc02#diff-3ea311fe723213f45970bb5b7b20a3bf,clean-up OTR interfaces and keystore import update remote interfaces fixed code for qrcode request/response handling removed save() from every setProperty() call,115,"Code re-organization, User experience improvement, Sensing & communication"
29,bd25922a,zom/Zom-Android,src/info/guardianproject/otr/app/im/app/ContactsPickerActivity.java,HandlerLeak,https://github.com/zom/Zom-Android-XMPP/commit/bd25922ace4674caf70e456f121429b244cd7570,fixes contact loading by using proper cursormanager/loadermanager fixes #3909,123,Bug fixing
30,f226df05,almalence/OpenCamera,src/com/almalence/opencam/ui/AlmalenceGUI.java,HandlerLeak,https://github.com/almalence/OpenCamera/commit/f226df05d0bbbda3a3040ed07e0a69fefeb205a0#diff-fe725043dc517d4e9ac670fb00478371,Manual controls redesign and fix.,127,"App enhancement, Bug fixing"
31,52dda7a7,zom/Zom-Android,src/info/guardianproject/otr/app/im/app/ProviderListItem.java,Recycle,https://github.com/zom/Zom-Android-XMPP/commit/52dda7a74507e58d0e65e25eb3d127926c363bfb,don't prompt use about data service; if it is off then we don't do anything,1,Sensing & communication
32,c3d85321,zom/Zom-Android,src/info/guardianproject/otr/app/im/app/ChatView.java,Recycle,https://github.com/zom/Zom-Android-XMPP/commit/c3d8532135e32b48786d2b7530c4ac17a408bb23,cursor needs to be closed manually,1,Storage management
33,6af2701,Freddy95/Primary-Notifications,app/src/main/java/com/estevez95gmail/f/primarynotifications/ProfileDBHelper.java,Recycle,https://github.com/Freddy95/Primary-Notifications/commit/6af270109da1b426cba4ce01d566509c9f2d9087#diff-df65e80e3450c512d4442a2b5db4e316,fixed sizing for devices with width 720,1,Bug fixing
34,16d5dcf,Zyg0te/FuelPlanner,Android/xFuel/app/src/main/java/com/connectutb/xfuel/tools/AircraftManager.java,Recycle,https://github.com/ardevd/FuelPlanner/commit/16d5dcf7a0f45013ab47af98a1df38abf94e70d7,Android: Close aircraft cursor properly.,2,Storage management
35,6a69d43d,zom/Zom-Android,src/info/guardianproject/otr/app/im/plugin/xmpp/XmppConnection.java,Recycle,https://github.com/zom/Zom-Android-XMPP/commit/6a69d43daac2ca0ecc9fcd4d505870d5a0b4d103,fixes #4448 makes sure cursor is closed,3,Bug fixing
36,b057cd7,gecko655/earthquake,src/jp/gecko655/earthquake/db/DatabaseOpenHelper.java,Recycle,https://github.com/gecko655/earthquake/commit/b057cd7b93a5ff0e0ea4c3219d03b1d8dae6c64c#diff-6f84097ce56b0d37148bcb6942de6e0e,Organized imports.,3,Project management
37,ec65540,shlusiak/Freebloks-Android,src/de/saschahlusiak/freebloks/game/FreebloksActivity.java,Recycle,https://github.com/shlusiak/Freebloks-Android/commit/ec65540830f83e7ed6612b2a4dd6d49ae3e7805f#diff-bd9ec759c8daba0d5731369629fe0c3e,fix lint warnings,4,Bug fixing
38,404b725,busradar/busradar,android-project/src/busradar/madison/G.java,Recycle,https://github.com/busradar/busradar/commit/404b725d4521c983e0f1d462569f0d6852610d44#diff-ebf279c63e4d6d0bae6fb33dea91d191,Cursor not closed after reading. Weakened SSL validation in transit tracker scapper. Update to version 1.0.15.,4,"Storage management, Sensing & communication, Project management"
39,b85c68c,SunyataZero/KindMind,src/com/sunyata/kindmind/Utils.java,Recycle,https://github.com/SunyataZero/KindMind/commit/b85c68cbff40cff3a6370d7f662e15fad801e72c#diff-9a338f641dc7056c40e3ea6ccdb61a43,Closing cursors (excepting those for loaders or adapters),4,Storage management
40,b1e9233,Dissem/Drupal-Editor,src/ch/dissem/android/drupal/Main.java,Recycle,https://github.com/Dissem/Drupal-Editor/commit/b1e9233785ba9a764d2b5d406be3576b6fd750ac#diff-a0270bec9f71435d26823fc99ae471a6,Fixed some layout and usability issues. Also... the AdMob Publisher ID isn't that sensitive and can easily be determined anyway... so why make a fuss...,5,"Bug fixing, User experience improvement,"
41,7209a7e,chaosbastler/opentraining,src/de/skubware/opentraining/EditWorkoutActivity.java,UseSparseArrays,https://github.com/chaosbastler/opentraining/commit/7209a7e284d9fc42d21d58cbc09e2cb9f0641ab5#diff-101969b72ff2e28c18c1baaec88af2b8,Fixed some minor issues shown by Lint. E.g. hardcodes strings... imports... ...,6,Bug fixing
42,7efc5f8,dmide/DubnaBus,src/ru/ratadubna/dubnabus/Bus.java,UseSparseArrays,https://github.com/dmide/DubnaBus/commit/7efc5f803190d4b4f9361d000cba6f2695f0994d#diff-19db97e471c6b59de60c442c73e80ab3,Schedules of Dubna-Moscow trains and buses added to the menu... corresponding activity and fragment implemented; minor fixes.,7,"App enhancement,Bug fixing"
43,97bebe5,hwki/SimpleBitcoinWidget,src/com/brentpanther/bitcoinwidget/TextSizer.java,UseSparseArrays,https://github.com/hwki/SimpleBitcoinWidget/commit/97bebe599278b5ad5e013fa0984658cd4250d4e1#diff-81fad8a9b8031da4e6274c3941f825c4,3.2.1 added independent reserve,8,App enhancement
44,932a57c,evanklein1/Grade-Calculator,app/src/main/java/me/evanklein/finalexamcalculator/Course.java,UseSparseArrays,https://github.com/evanklein1/Grade-Calculator/commit/932a57cd8e2670ceac8606599bf7d1b6cc7d96e3#diff-481de0c7939323276a921486d2b10064,added option to edit course name,9,App enhancement
45,820b021,evanklein1/Grade-Calculator,app/src/main/java/me/evanklein/finalexamcalculator/CourseActivity.java,UseSparseArrays,https://github.com/evanklein1/Grade-Calculator/commit/820b021d12a7d835cfbc9d7a52c5d5fa591f8952#diff-ab81e04fc5195570f37bd83ed2440082,removed unused newassessments hashmap,10,Code re-organization
46,ae06fb3,username115/FRCScouting,src/org/frc836/aerialassist/MatchStatsAA.java,UseSparseArrays,https://github.com/username115/FRCScouting/commit/ae06fb3bc147fc7da07714822c2aa26b471f3348#diff-f3bbf82e4454163ff183c4e880b4ae53,More work on match scouting. Worked on endgame... got notes field and common notes working.,11,App enhancement
47,9dd73d7,daniellu789/TripCard,app/src/main/java/com/parse/TripCard/API/LTAPIConstants.java,UseSparseArrays,https://github.com/daniellu789/TripCard/commit/9dd73d7761f2006434625fb7a2be170897f61594#diff-367c9db54ebda518ea99fc41008a3e68,fix bug of upload photo,13,"Bug fixing, User experience improvement"
